"subid","age_group","age","sex","english","site","trial_type","trial_num","item_num","correct","rt","expt"
"150109-07",3,3.1,"F",6,"cdm","inference",17,"3vs1",2,3344,"ipad"
"150109-07",3,3.1,"F",6,"cdm","control_single",18,"1vs1",2,3497,"ipad"
"150109-08",4,4.36,"M",6,"cdm","control_single",3,"2vs2",2,2928,"ipad"
"150109-08",4,4.36,"M",6,"cdm","inference",4,"2vs1",2,2619,"ipad"
"150109-08",4,4.36,"M",6,"cdm","control_double",5,"3vs1",2,1278,"ipad"
"150109-08",4,4.36,"M",6,"cdm","control_single",6,"2vs2",2,1074,"ipad"
"150109-08",4,4.36,"M",6,"cdm","inference",7,"2vs1",2,1850,"ipad"
"150109-08",4,4.36,"M",6,"cdm","control_single",8,"2vs2",2,1281,"ipad"
"150109-08",4,4.36,"M",6,"cdm","control_single",9,"2vs2",2,1353,"ipad"
"150109-08",4,4.36,"M",6,"cdm","control_double",10,"2vs1",2,1591,"ipad"
"150109-08",4,4.36,"M",6,"cdm","control_double",11,"3vs1",2,1895,"ipad"
"150109-08",4,4.36,"M",6,"cdm","control_single",12,"1vs1",2,1425,"ipad"
"150109-08",4,4.36,"M",6,"cdm","control_single",13,"1vs1",2,1158,"ipad"
"150109-08",4,4.36,"M",6,"cdm","inference",14,"3vs1",2,1644,"ipad"
"150109-08",4,4.36,"M",6,"cdm","control_single",15,"1vs1",2,1594,"ipad"
"150109-08",4,4.36,"M",6,"cdm","control_double",16,"2vs1",2,1502,"ipad"
"150109-08",4,4.36,"M",6,"cdm","inference",17,"3vs1",2,1928,"ipad"
"150109-08",4,4.36,"M",6,"cdm","control_single",18,"1vs1",2,1573,"ipad"
