subid,age_group,trial_type,item_num,correct,rt
150116-02-sc,3,control_double,3vs1,1,3024
150116-02-sc,3,control_single,2vs2,1,2122
150116-02-sc,3,inference,2vs1,1,3397
150116-02-sc,3,control_single,2vs2,1,3957
150116-02-sc,3,control_single,2vs2,1,2487
150116-02-sc,3,control_double,2vs1,1,2145
150116-02-sc,3,control_double,3vs1,1,3468
150116-02-sc,3,control_single,1vs1,1,2530
150116-02-sc,3,control_single,1vs1,1,2116
150116-02-sc,3,inference,3vs1,1,3592
150116-02-sc,3,control_single,1vs1,1,1811
150116-02-sc,3,control_double,2vs1,0,1796
150116-03-sc,4,practice,NA,1,4959
150116-03-sc,4,practice,NA,1,2413
150116-03-sc,4,control_single,2vs2,1,2511
150116-03-sc,4,inference,3vs1,1,4459
150116-03-sc,4,control_double,3vs1,1,2994
150116-03-sc,4,control_single,1vs1,1,2783
150116-03-sc,4,inference,3vs1,1,1482
150116-03-sc,4,control_single,1vs1,1,1454
150116-03-sc,4,control_single,2vs2,1,944
150116-03-sc,4,control_double,2vs1,1,1536
150116-03-sc,4,control_double,3vs1,1,1459
150116-03-sc,4,control_single,1vs1,1,1779
150116-03-sc,4,control_single,2vs2,1,1956
150116-03-sc,4,inference,2vs1,1,1103
150116-03-sc,4,control_single,1vs1,1,947
150116-03-sc,4,control_double,2vs1,1,1239
150116-03-sc,4,inference,2vs1,1,1404
150116-03-sc,4,control_single,2vs2,1,1650
150116-04-sc,3,practice,NA,1,3198
150116-04-sc,3,practice,NA,1,3405
150116-04-sc,3,control_single,2vs2,0,3211
150116-04-sc,3,inference,2vs1,0,7063
150116-04-sc,3,control_double,3vs1,1,4420
150116-04-sc,3,control_single,2vs2,1,4031
150116-04-sc,3,inference,2vs1,0,4155
150116-04-sc,3,control_single,2vs2,1,5973
150116-04-sc,3,control_double,2vs1,1,3685
150116-04-sc,3,control_double,3vs1,1,6330
150116-04-sc,3,control_single,1vs1,1,3281
150116-04-sc,3,control_single,1vs1,1,4234
150116-04-sc,3,inference,3vs1,0,4810
150116-04-sc,3,control_single,1vs1,1,2340
150116-04-sc,3,control_double,2vs1,1,5483
150116-04-sc,3,inference,3vs1,1,2340
150116-04-sc,3,control_single,1vs1,1,4416
150116-05-sc,6,practice,NA,1,1146
150116-05-sc,6,practice,NA,1,1246
150116-05-sc,6,control_single,2vs2,1,1369
150116-05-sc,6,inference,3vs1,1,7909
150116-05-sc,6,control_double,3vs1,1,2269
150116-05-sc,6,control_single,1vs1,1,1482
150116-05-sc,6,inference,3vs1,0,4974
150116-05-sc,6,control_single,1vs1,1,1447
150116-05-sc,6,control_single,2vs2,1,2487
150116-05-sc,6,control_double,2vs1,1,1382
150116-05-sc,6,control_double,3vs1,1,1515
150116-05-sc,6,control_single,1vs1,1,1162
150116-05-sc,6,control_single,2vs2,1,1050
150116-05-sc,6,inference,2vs1,0,2347
150116-05-sc,6,control_single,1vs1,1,2035
150116-05-sc,6,control_double,2vs1,1,1167
150116-05-sc,6,inference,2vs1,1,4409
150116-05-sc,6,control_single,2vs2,1,1648
150116-07-sc,3,practice,NA,1,6448
150116-07-sc,3,practice,NA,1,4662
150116-07-sc,3,control_single,2vs2,1,3283
150116-07-sc,3,inference,3vs1,1,2026
150116-07-sc,3,control_double,3vs1,1,2995
150116-07-sc,3,control_single,1vs1,1,2601
150116-07-sc,3,control_single,1vs1,1,2120
150116-07-sc,3,control_single,2vs2,1,2003
150116-07-sc,3,control_double,2vs1,1,5266
150116-07-sc,3,control_double,3vs1,1,2718
150116-07-sc,3,control_single,1vs1,1,2135
150116-07-sc,3,control_single,2vs2,1,1729
150116-07-sc,3,inference,2vs1,1,1501
150116-07-sc,3,control_single,1vs1,1,1654
150116-07-sc,3,control_double,2vs1,1,1753
150116-07-sc,3,inference,2vs1,0,1720
150116-07-sc,3,control_single,2vs2,1,3051
150116-08-sc,5,practice,NA,1,5415
150116-08-sc,5,practice,NA,1,1680
150116-08-sc,5,control_single,2vs2,1,1610
150116-08-sc,5,inference,2vs1,1,2671
150116-08-sc,5,control_double,3vs1,1,1632
150116-08-sc,5,control_single,2vs2,1,1661
150116-08-sc,5,inference,2vs1,1,1734
150116-08-sc,5,control_single,2vs2,1,1845
150116-08-sc,5,control_single,2vs2,1,1784
150116-08-sc,5,control_double,2vs1,1,1468
